priority,id,name,state,item,why_flagged,source_to_check
P1,—,ALL census records,—,Census vintage,"Facility identity comes from an Oct 2023 CMS snapshot: it misses hospitals opened since, may retain closed ones, and carries superseded names",Refresh from data.cms.gov Hospital General Information (dataset xubh-q36u)
P2,021309,BRISTOL BAY AREA HEALTH CORPORATION,AK,Missing from map — no coordinates,"CMS census row carries no lat/lon, so the facility could not be plotted",Geocode the facility address; confirm the facility is still open
P2,021307,CORDOVA COMMUNITY MEDICAL CENTER,AK,Missing from map — no coordinates,"CMS census row carries no lat/lon, so the facility could not be plotted",Geocode the facility address; confirm the facility is still open
P2,021310,MANIILAQ HEALTH CENTER,AK,Missing from map — no coordinates,"CMS census row carries no lat/lon, so the facility could not be plotted",Geocode the facility address; confirm the facility is still open
P2,020027,MT EDGECUMBE HOSPITAL,AK,Missing from map — no coordinates,"CMS census row carries no lat/lon, so the facility could not be plotted",Geocode the facility address; confirm the facility is still open
P2,021308,NORTON SOUND REGIONAL HOSPITAL,AK,Missing from map — no coordinates,"CMS census row carries no lat/lon, so the facility could not be plotted",Geocode the facility address; confirm the facility is still open
P2,021311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,AK,Certification status,"No certification on record; 51 beds, Critical Access — large uncertified referral centres are the most likely stale records",Joint Commission Quality Check + DNV directory + hospital website
P2,021304,PETERSBURG MEDICAL CENTER,AK,Certification status,"No certification on record; 27 beds, Critical Access — large uncertified referral centres are the most likely stale records",Joint Commission Quality Check + DNV directory + hospital website
P2,021302,PROVIDENCE SEWARD HOSPITAL,AK,City unknown,No town centroid within 12 mi of the CMS coordinates,Confirm city from the hospital website
P2,021301,PROVIDENCE VALDEZ MEDICAL CENTER,AK,Missing from map — no coordinates,"CMS census row carries no lat/lon, so the facility could not be plotted",Geocode the facility address; confirm the facility is still open
P2,021312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,AK,City unknown,No town centroid within 12 mi of the CMS coordinates,Confirm city from the hospital website
P2,021314,SEARHC MT. EDGECUMBE MEDICAL CENTER,AK,Certification status,"No certification on record; 26 beds, Critical Access — large uncertified referral centres are the most likely stale records",Joint Commission Quality Check + DNV directory + hospital website
P2,021305,SEARHC WRANGELL MEDICAL CENTER-CAH,AK,Certification status,"No certification on record; 22 beds, Critical Access — large uncertified referral centres are the most likely stale records",Joint Commission Quality Check + DNV directory + hospital website
P2,021303,SITKA COMMUNITY HOSPITAL,AK,Missing from map — no coordinates,"CMS census row carries no lat/lon, so the facility could not be plotted",Geocode the facility address; confirm the facility is still open
P2,020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,AK,Missing from map — no coordinates,"CMS census row carries no lat/lon, so the facility could not be plotted",Geocode the facility address; confirm the facility is still open
P2,131317,BENEWAH COMMUNITY HOSPITAL,ID,Certification status,"No certification on record; 19 beds, Critical Access — large uncertified referral centres are the most likely stale records",Joint Commission Quality Check + DNV directory + hospital website
P2,131308,CASCADE MEDICAL CENTER,ID,Certification status,"No certification on record; 8 beds, Critical Access — large uncertified referral centres are the most likely stale records",Joint Commission Quality Check + DNV directory + hospital website
P2,131327,GRITMAN MEDICAL CENTER,ID,Certification status,"No certification on record; 25 beds, Critical Access — large uncertified referral centres are the most likely stale records",Joint Commission Quality Check + DNV directory + hospital website
P2,130067,IDAHO DOCTORS HOSPITAL,ID,Missing from map — no coordinates,"CMS census row carries no lat/lon, so the facility could not be plotted",Geocode the facility address; confirm the facility is still open
P2,130066,NORTHWEST SPECIALTY HOSPITAL,ID,Certification status,"No certification on record; 34 beds, Acute Care — large uncertified referral centres are the most likely stale records",Joint Commission Quality Check + DNV directory + hospital website
P2,130072,SAINT ALPHONSUS NEIGHBORHOOD HOSPITAL- SOUTH NAMPA,ID,Missing from map — no coordinates,"CMS census row carries no lat/lon, so the facility could not be plotted",Geocode the facility address; confirm the facility is still open
P2,131314,SHOSHONE MEDICAL CENTER,ID,Certification status,"No certification on record; 21 beds, Critical Access — large uncertified referral centres are the most likely stale records",Joint Commission Quality Check + DNV directory + hospital website
P2,131312,ST LUKE'S MCCALL,ID,Certification status,"No certification on record; 15 beds, Critical Access — large uncertified referral centres are the most likely stale records",Joint Commission Quality Check + DNV directory + hospital website
P2,131305,STEELE MEMORIAL MEDICAL CENTER,ID,Certification status,"No certification on record; 18 beds, Critical Access — large uncertified referral centres are the most likely stale records",Joint Commission Quality Check + DNV directory + hospital website
P2,131315,SYRINGA GENERAL HOSPITAL,ID,Certification status,"No certification on record; 15 beds, Critical Access — large uncertified referral centres are the most likely stale records",Joint Commission Quality Check + DNV directory + hospital website
P2,270089,BIG SKY MEDICAL CENTER,MT,Missing from map — no coordinates,"CMS census row carries no lat/lon, so the facility could not be plotted",Geocode the facility address; confirm the facility is still open
P2,271304,MISSOURI RIVER MEDICAL CENTER,MT,Missing from map — no coordinates,"CMS census row carries no lat/lon, so the facility could not be plotted",Geocode the facility address; confirm the facility is still open
P2,270074,P H S INDIAN HOSPITAL AT BROWNING - BLACKFEET,MT,Missing from map — no coordinates,"CMS census row carries no lat/lon, so the facility could not be plotted",Geocode the facility address; confirm the facility is still open
P2,271339,P H S INDIAN HOSPITAL CROW / NORTHERN CHEYENNE,MT,Missing from map — no coordinates,"CMS census row carries no lat/lon, so the facility could not be plotted",Geocode the facility address; confirm the facility is still open
P2,500052,KAISER PERMANENTE CENTRAL HOSPITAL,WA,Certification status,"No certification on record; 26 beds, Acute Care — large uncertified referral centres are the most likely stale records",Joint Commission Quality Check + DNV directory + hospital website
P2,503301,MARY BRIDGE CHILDREN'S HOSPITAL,WA,Missing from map — no coordinates,"CMS census row carries no lat/lon, so the facility could not be plotted",Geocode the facility address; confirm the facility is still open
P2,500138,SEATTLE CANCER CARE ALLIANCE,WA,Missing from map — no coordinates,"CMS census row carries no lat/lon, so the facility could not be plotted",Geocode the facility address; confirm the facility is still open
P2,500049,WALLA WALLA GENERAL HOSPITAL,WA,Missing from map — no coordinates,"CMS census row carries no lat/lon, so the facility could not be plotted",Geocode the facility address; confirm the facility is still open
P2,530010,LANDER REGIONAL HOSPITAL,WY,Missing from map — no coordinates,"CMS census row carries no lat/lon, so the facility could not be plotted",Geocode the facility address; confirm the facility is still open
P2,530033,MOUNTAIN VIEW REGIONAL HOSPITAL,WY,Missing from map — no coordinates,"CMS census row carries no lat/lon, so the facility could not be plotted",Geocode the facility address; confirm the facility is still open
